idx	X	Y	component
239	7856.654299082235	38095.8608841839	0
240	7856.653021640315	38095.8610155179	0
241	7858.621873278997	38095.50586294368	0
242	7856.654209007822	38095.86083763093	0
243	7858.71381237829	38095.55090044984	0
244	7858.714735472684	38095.55087582061	0
245	7859.737109021498	38095.4103311205	0
246	7859.744521834025	38095.40426667465	0
247	7860.743529052455	38095.55640866596	0
248	7859.73819390047	38095.41018063969	0
249	7860.74976440004	38095.55974146334	0
250	7860.750973310685	38095.55977587897	0
251	7866.824065559118	38096.76649463643	0
252	7866.82483409021	38096.76652533319	0
253	7867.801854285088	38097.12331247452	0
254	7866.854674759477	38096.77832448098	0
255	7867.811824126256	38097.11751711465	0
256	7867.802747601476	38097.1234098151	0
257	7868.821971577476	38097.30832005862	0
258	7868.823486225159	38097.3116371593	0
259	7869.810810573756	38097.33100114368	0
260	7868.821511706119	38097.30836464112	0
261	7869.802407929881	38097.30510990653	0
262	7869.80258032959	38097.30538624442	0
263	8716.38812947214	38409.63256300749	0
264	8716.387962025961	38409.63296554455	0
265	8717.179368339948	38408.87185599231	0
266	8716.387834824436	38409.6326220362	0
267	8717.179619028535	38408.90633267987	0
268	8717.179851016223	38408.90640672071	0
269	8938.722970474184	38535.91200418954	0
270	8938.769345271365	38535.92253728952	0
271	8939.606337652789	38536.22712679189	0
272	8938.722921016124	38535.91207658094	0
273	8939.619420893872	38536.22080211222	0
274	8939.606598560818	38536.22719607558	0
275	9169.844960719645	38670.3269201796	0
276	9169.816326235137	38670.39120484132	0
277	9170.002671944865	38671.29733191792	0
278	9169.844935597601	38670.32689950069	0
279	9170.007815346584	38671.29754953548	0
280	9170.008428762583	38671.29797556384	0
281	9222.185987578589	38696.16423533909	0
282	9222.183936255427	38696.16554859748	0
283	9222.957617117649	38696.87823895231	0
284	9222.186147665874	38696.16428431708	0
285	9222.969406413955	38696.87778492067	0
286	9222.969046530201	38696.87727438923	0
287	9227.698349767903	38699.1231969662	0
288	9227.698402263311	38699.1232250407	0
289	9228.471566567467	38699.50494084007	0
290	9227.700832579903	38699.13122596728	0
291	9228.454333273468	38699.52267480573	0
292	9228.471000213449	38699.50469045847	0
293	9240.387404926267	38703.32499898289	0
294	9240.387404925874	38703.32499898381	0
295	9241.383525710316	38703.33041864484	0
296	9240.389790066398	38703.32051547712	0
297	9241.397336127804	38703.33076599734	0
298	9241.397681254042	38703.33078926361	0
299	9282.321916569115	38709.29243041128	0
300	9281.735306766561	38709.8073208176	0
301	9283.53444470367	38708.76241586575	0
302	9282.32071707553	38709.2930971103	0
303	9283.526567099241	38708.79619703114	0
304	9283.52361471441	38708.79750639939	0
305	9368.754174762871	38719.36718393692	0
306	9368.751994914011	38719.38335294479	0
307	9369.41643470409	38720.02526606461	0
308	9368.753953567619	38719.36716603431	0
309	9369.437548571452	38720.01955069535	0
310	9369.417607015042	38720.02602185576	0
311	9476.804536034942	38745.90556755951	0
312	9476.804381686972	38745.90648778852	0
313	9477.311467877586	38746.57338136201	0
314	9476.805007436036	38745.90583949014	0
315	9477.332978531798	38746.57372391152	0
316	9477.333407159309	38746.57398776494	0
317	9495.405404736601	38748.28482604396	0
318	9495.406334103158	38748.28428202895	0
319	9496.320078461133	38748.73419862822	0
320	9495.40510709252	38748.28482827136	0
321	9496.303066349301	38748.74291824742	0
322	9496.319376129701	38748.7339973422	0
323	9539.383194827969	38752.25871484238	0
324	9539.375974859271	38752.28008066039	0
325	9540.190410476156	38752.80569127748	0
326	9539.3833689071	38752.25875636291	0
327	9540.195382568574	38752.80355270498	0
328	9540.195400629542	38752.80355980158	0
329	9553.350199203753	38756.26570385125	0
330	9553.349586987722	38756.27538262757	0
331	9554.325143377999	38756.09180100046	0
332	9553.350607267319	38756.26578333751	0
333	9554.327808841201	38756.09131784637	0
334	9554.327808840313	38756.09131784592	0
335	9581.298249493113	38755.94483348248	0
336	9581.298263192824	38755.94483495742	0
337	9582.311222127399	38756.0184280393	0
338	9581.297641597008	38755.94595266942	0
339	9582.316249878386	38756.02170119108	0
340	9582.311157099324	38756.01840877191	0
341	9591.604741516316	38756.33681082077	0
342	9591.604621884115	38756.33680896874	0
343	9592.496562135348	38756.80721359445	0
344	9591.601687870978	38756.34180358156	0
345	9592.500862883007	38756.80699691252	0
346	9592.500726976727	38756.80697962626	0
347	9618.269771755746	38759.20088077934	0
348	9618.270295562441	38759.20092788503	0
349	9619.315017933623	38759.14439451024	0
350	9618.270952590148	38759.20098387786	0
351	9619.316446302408	38759.14479859633	0
352	9619.316446301444	38759.14479859607	0
353	9621.432897834202	38759.12340484218	0
354	9621.428429844153	38759.12374631783	0
355	9622.384448041819	38758.77456913036	0
356	9621.433270214544	38759.12333796228	0
357	9622.379448301945	38758.77149370217	0
358	9622.384736868597	38758.77458456665	0
359	9680.690008254463	38757.55356930393	0
360	9680.688896929671	38757.55397593256	0
361	9681.71631802175	38757.53750069145	0
362	9680.690010185474	38757.55359155976	0
363	9681.718033211786	38757.53734886984	0
364	9681.716318022744	38757.53750069135	0
365	9689.98270500463	38758.85121851532	0
366	9689.982816734642	38758.85119640984	0
367	9691.013862926815	38758.8025075777	0
368	9689.983491931347	38758.85149739467	0
369	9691.016432565164	38758.80270012079	0
370	9691.014210806094	38758.80251386942	0
371	9693.067231983598	38759.23915690531	0
372	9693.067694731151	38759.23937689784	0
373	9694.070010648651	38759.0591045521	0
374	9693.066908959801	38759.23911255341	0
375	9694.070398224281	38759.0604301521	0
376	9694.069910115082	38759.05908325408	0
377	9696.121323597436	38759.31740078278	0
378	9696.122723774992	38759.31786437581	0
379	9697.138060799782	38759.24468298485	0
380	9696.120383285433	38759.31746344076	0
381	9697.144645479038	38759.24995684952	0
382	9697.144096439737	38759.24998442607	0
383	9725.526832404441	38768.11379724108	0
384	9725.525067874794	38768.11515079482	0
385	9726.383626873874	38768.57997923037	0
386	9725.526708509773	38768.11392555533	0
387	9726.388915710028	38768.57638268786	0
388	9726.383626874704	38768.57997922981	0
389	9762.271769771356	38774.11552161628	0
390	9762.271902280936	38774.11551722753	0
391	9763.257757508589	38774.80491139969	0
392	9762.243401629043	38774.11512668117	0
393	9763.258288915698	38774.8072411109	0
394	9763.257757508458	38774.80491140068	0
395	9880.370621287042	38778.25601815098	0
396	9880.370024599317	38778.2578990339	0
397	9881.382288303714	38778.41857696834	0
398	9880.370687833401	38778.25591410193	0
399	9881.382565982454	38778.41858612265	0
400	9881.383167845404	38778.41866906916	0
401	9883.439389900344	38778.6871935825	0
402	9883.439534397319	38778.68721461311	0
403	9884.465663081814	38778.72423662529	0
404	9883.439136255041	38778.68738127367	0
405	9884.464309621726	38778.72416340106	0
406	9884.464598214585	38778.72416831876	0
407	9886.502827148575	38778.30376302551	0
408	9886.502811483126	38778.30384400474	0
409	9887.54073545846	38778.12063407982	0
410	9886.502827147589	38778.30376302567	0
411	9887.536656206565	38778.12063089759	0
412	9887.540348525377	38778.12062365213	0
